"Country Name","Country Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.19000005722046",,,,,,,,,"16.3999996185303",,,,,,,,,,"12.8199996948242",,,,,,,,,,,,,"19.5952491760254",,
"Africa Eastern and Southern","AFE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.91133178969913",,,"5.26141700354864",,,"3.71811698299556","3.0699999332428","3.98425006866455",,,
"Africa Western and Central","AFW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Angola","AGO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.77637575082021",,,,,"5.67402405512715",,"4.04667835788036",,,"2.63000011444092","1.99752998352051",,,,"0.0883457029175967",,,,,,
"Albania","ALB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.42999982833862",,,,,,,"9.81999969482422",,,"12","12.8999996185303","12.9112680550336","13.1912382198248","14.8079976313206","14.3157503195291","16.1501998901367","16.4676840857403","17.3219430335689","17.804132917267","18.2029345963076","19.8346436163563","17.5100002288818",,
"Andorra","AND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.3099994659424","17.2000007629394","17.9899997711182",,,,,,,,"21.25","21.1299991607666","21.0499992370606",,,,,,"25.0400009155273",,,
"Arab World","ARB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Arab Emirates","ARE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31.6900005340576","46.560001373291","47.2900009155273","46.6300010681152",,"47.1800003051758","51.0699996948242","52.7200012207031","52.6599998474121",
"Argentina","ARG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Armenia","ARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20.3600006103516",,,,,,"19.2934719939228",,"20.5618962682831","21.0760923232902","24.4200000762939","23.3567134268501","24.1894898407536",,,"24.1347694396973","24.3799991607666","24.2692468209224","27.4885530476287","24.2099990844727","28.5798569615657","24.2985191345215","25.9126396179199",,
"American Samoa","ASM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda","ATG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.2774796193585",,,"11.8943595886231",,"14.6945279079707",,
"Australia","AUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19.9073342587382","19.9812871288106","20.4715081316108","21.046991054061","21.8940867959334","22.1360978339452","22.6742838097462","23.9334778404203","23.9939263648304","25.0530874741561","28.2235735681435","29.0356309258349","26.7399997711182","28.6200008392334","29.7800006866455","30.0300006866455","31.3899993896484","31.75","33.0900001525879","35.0200004577637","35.9599990844727","36.8400001525879","35.7648347818291","36.7831484305008",
"Austria","AUT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.8699998855591","13.079999923706","13.460000038147","14.25","14.7956089091719","15.3599996566772","15.9696032098267","16.6050665122676",,,,
"Azerbaijan","AZE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.2799997329712",,,,,,,,,,,,,,"15.6599998474121","15.6800003051758","15.6899995803833","15.7399997711182","15.7200002670288","15.7299995422363","15.7200002670288",,,,"17.6700000762939",,
"Burundi","BDI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.810000002384186",,,"0.910000026226044",,,,,,,,
"Belgium","BEL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.25","31.2600002288818","31.7099990844727","32.1699981689453","34.689998626709","33.7888681088514","35.2999992370605","35.4660797015242","37.5813460756875","36.307492413537","37.4110337879949",,
"Benin","BEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.15965918551308",,,,"2.53311991691589",,"3.78492999076843",,"3.06135010719299","3.85361003875732",,,
"Burkina Faso","BFA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.22846095654366","1.02999997138977",,,,,,,"0",,,,"2.15000009536743","2.11959004402161",,"2.40341997146606","1.55992996692657","2.29087604699152","2.49695045370837",
"Bangladesh","BGD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.69000005722046","5.86999988555908","5.5","5.84999990463257","8.23999977111816","8.51000022888184","8.97999954223633","9.35999965667725","9.76000022888184",,"9.78999996185303","7.5711943437389","7.50281362321943",,
"Bulgaria","BGR",,,,,,,,,,,,,,,,"5.48999977111816",,,,,,,,,,,,,,,,,"15.039999961853",,,,,,,,,"18.0499992370606",,,,,"19.5","19.8199996948242","20.1900005340576","20.5300006866455","20.7199993133545","20.8099994659424","21.5100002288818","22.9200000762939","24.0599994659424","24.4699993133545","24.6299991607666","24.7099990844727","25.6485708559124","24.7581654284502","26.0499992370606","26.2469395787288","26.0069599701843","26.3688540109966",,
"Bahrain","BHR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.47999954223633",,,,,,"14.2799997329712","14.3400001525879","21.6100006103516",,"23.3299999237061",,"29.7800006866455","29.5799999237061","29.2199993133545",
"Bahamas, The","BHS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.340000003576279",,,,,,,,,,"15.2299995422363",,,,,,,,,"16.6675491333008",,,,,,
"Bosnia and Herzegovina","BIH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.73000001907349","6.17000007629395",,,"7.82999992370605","7.55000019073486","8.38000011444092","7.18638785224455","7.75","6.99684916435059","10.5900001525879","11.7022443213504","12.289999961853","11.2760298314996",,
"Belarus","BLR",,,,,,,,,,,"5.34999990463257",,,,,,,,,,,,,,,,,,,"12.4799995422363",,,,,,,,,,,,,,,,,,,,"22.0799999237061",,,,,,,,,,"28.2999992370606",,,,,,
"Belize","BLZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.71999979019165",,,,,,,,"9.28183998404068","6.68492524449815","7.88000011444092",,"7.01000022888184",,,
"Bermuda","BMU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.3299999237061",,,,,,"31.1100006103516",,,,,,,,,
"Bolivia","BOL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.01943315147938","8.54634127592773","8.10186925524874",,,"9.64931767932058","12.4024502706789","12.5186728795855","12.5363501021959","13.1729709088048",,"15.0740160315124","12.9347919933084","14.8252525312228",,"22.3299999237061",,"14.1513868970929",,"24.7000007629394","26.8199996948242",,"16.893167568269","20.1183891296387",,
"Brazil","BRA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.3500003814697","15.7299995422363","16.5400009155273",,,,,,,
"Barbados","BRB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.05999994277954",,,,,,,,,,,,,,,,,,,,,,,,,
"Brunei Darussalam","BRN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.1099996566772",,,"14.8702012439871",,,"13.9771413500091","14.3217421581801","17.4615572930271","15.47793441586","15.9186443323553","17.57543339854","18.5111530591512",,
